bns_section_number,bns_section_title,bns_section_text,keywords,crime_category
100,Murder and Culpable Homicide,"This section of the Bharatiya Nyaya Sanhita (BNS) defines murder and culpable homicide, differentiating between them based on intent and knowledge of likely consequences.  It outlines various scenarios and exceptions, including provocation, self-defense, and acts committed by public servants.  The section also details the punishments for murder, culpable homicide not amounting to murder, causing death by negligence, abetment of suicide, and attempted murder.  Specific penalties vary depending on the circumstances and intent of the offender.","Murder, Culpable Homicide, Intent, Knowledge, Provocation, Self-Defense, Punishment, Death Penalty, Negligence",Offences Against the Person
110,Culpable Homicide Not Amounting to Murder,"This section of the Bharatiya Nyaya Sanhita (BNS) defines the punishment for culpable homicide not amounting to murder.  If an act causes death, but under circumstances that would not constitute murder, the perpetrator faces imprisonment up to three years, a fine, or both.  If the act causes hurt to another person, the punishment increases to imprisonment up to seven years, a fine, or both.  The illustration clarifies that grave and sudden provocation causing an act that would constitute culpable homicide not amounting to murder if death resulted, still falls under this section's purview.","Culpable Homicide, Murder, Punishment, Imprisonment, Fine, Grave Provocation, Hurt",Offences Against the Person
111,Organised Crime and Punishment,"This section defines organised crime, encompassing various offenses like theft, extortion, and trafficking, committed by two or more individuals acting jointly or singly as a syndicate.  It outlines severe punishments, including life imprisonment and substantial fines, for those who commit organised crime, abet it, or possess property derived from it.  Petty organised crime is also defined with lesser, but still significant penalties.","Organised crime, syndicate,  extortion, trafficking,  punishment, life imprisonment,  fine.","Organized Crime, Offences Against Property, Offences Against Human Body (depending on the specific crime within the syndicate's activities)"
120,Punishment for Wrongful Restraint and Wrongful Confinement,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines the offenses of wrongful restraint and wrongful confinement, detailing various scenarios and corresponding punishments.  The severity of the punishment increases based on the duration of confinement, the intent behind the confinement (e.g., extortion, preventing detection of an offense), and whether a writ for liberation has been issued.  Wrongful restraint involves obstructing a person's movement, while wrongful confinement restricts their movement within certain limits.","Wrongful Restraint, Wrongful Confinement, Imprisonment, Extortion,  Punishment,  Criminal Law,  Bharatiya Nyaya Sanhita",Offences Against Personal Liberty
136,Punishment for Criminal Force with Grave Provocation,"This section outlines the punishment for using criminal force on another person when provoked by that same person.  The punishment is a maximum of one month imprisonment, a fine up to 1000 rupees, or both.  The explanation from section 131 applies here.  This relates to offences involving criminal force, provocation, and potentially links to broader themes of kidnapping, abduction, slavery, and forced labour, though those offenses themselves aren't explicitly defined in this section.","Criminal Force, Grave Provocation, Imprisonment, Fine, Punishment, Section 131,  Explanation",Offences Against the Person
137,"Kidnapping, Abduction, and Trafficking","This section of the Bharatiya Nyaya Sanhita (BNS) defines and outlines punishments for various offenses related to kidnapping and abduction, including kidnapping from India or lawful guardianship, abduction by force or deceit, kidnapping a child for begging, kidnapping or abducting with intent to murder or cause grievous hurt, importing underage individuals for illicit intercourse, and wrongfully concealing a kidnapped or abducted person.  The section also comprehensively addresses trafficking in persons, defining exploitation and outlining varying penalties based on the number of victims, the involvement of children, and the participation of public servants or police officers.  The penalties range from imprisonment for several years to life imprisonment and fines.","Kidnapping, Abduction, Trafficking, Child Exploitation, Begging, Imprisonment, Life Imprisonment,  Human Trafficking",Offences Against the Person
144,Punishment for Sexual Exploitation of Trafficked Persons,"This section outlines the punishment for individuals who engage trafficked persons in sexual exploitation.  The punishment is more severe (5-10 years imprisonment and fine) if the individual engages a child in sexual exploitation,  while engaging a trafficked adult results in a lesser, but still significant, punishment (3-7 years imprisonment and fine).  Knowledge or reasonable belief that the person is trafficked is a key element.","Sexual Exploitation, Trafficking, Child Abuse, Human Trafficking, Imprisonment, Fine, Punishment","Offences Against Persons (Specifically, Sexual Offences and Human Trafficking)"
145,Offences Against the State,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines various offenses against the Indian state, including waging war against the government (Sections 147, 149, 153), conspiring to commit such acts (Section 148), concealing designs to wage war (Section 150), assaulting or threatening the President or Governor (Section 151), endangering the sovereignty and integrity of India through subversive activities (Section 152), waging war against a friendly foreign state (Section 153), and committing depredations on the territory of a friendly foreign state (Section 154).  The penalties range from life imprisonment and fines to shorter prison terms and fines, depending on the severity of the offense.  It also includes offenses related to unlawful compulsory labor (Section 146).","Waging war, State security, Sedition, Subversion, Conspiracy,  Compulsory labor,  Foreign state.",Offences Against the State
155,Escape of Prisoners by Public Servants,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines the penalties for public servants who either voluntarily or negligently allow the escape of state prisoners or prisoners of war.  Voluntary allowance of escape results in life imprisonment or up to 10 years imprisonment and a fine; negligent allowance results in up to 3 years of simple imprisonment and a fine.  Additionally, it references sections 153 and 154 (not provided), which likely detail offenses related to property acquisition through war or depredation, with penalties including imprisonment and forfeiture of property.","Public Servant, Prisoner Escape, Negligence, Voluntary Act, Imprisonment, Fine, Forfeiture",Offences Against Public Order and Security
158,"Offences Relating to the Army, Navy, and Air Force","This section of the Bharatiya Nyaya Sanhita (BNS) outlines various offences related to the Indian Army, Navy, and Air Force.  These include abetment of mutiny, assault on superior officers, desertion, harboring deserters, insubordination, and impersonating military personnel.  The section specifies punishments ranging from fines to life imprisonment depending on the severity of the offense.  Exceptions are made for certain circumstances, such as harboring by a deserter's spouse.","Army, Navy, Air Force, Mutiny, Desertion, Assault, Insubordination, Impersonation, Abetment, Military Offences",Military Offences
171,Offences Relating to Elections,"This section details various election-related offences, including undue influence (threatening candidates or voters, inducing belief in divine displeasure), personation (voting under false names), bribery (including treating), and making false statements about candidates.  It also addresses illegal payments during elections and failure to maintain election expense accounts.  Penalties range from fines to imprisonment.","Election Offences, Undue Influence, Personation, Bribery, False Statements, Illegal Payments, Election Expenses",Election Offences
181,Forgery of Currency and Government Stamps,"This section of the Bharatiya Nyaya Sanhita (BNS) criminalizes the possession, creation, use, or distribution of counterfeit currency notes, bank notes, government stamps, or the instruments used to create them.  The penalties range from life imprisonment and fines to lesser fines depending on the specific offense.  The section also addresses the liability of individuals whose names appear on forged documents.","Forgery, Counterfeiting, Currency Notes, Bank Notes, Government Stamps,  Imprisonment, Fine",Offences Against the State/Economic Offences
183,Fraudulent Use and Removal of Government Revenue Stamps,"This section of the Bharatiya Nyaya Sanhita (BNS) criminalizes the fraudulent removal or alteration of government revenue stamps from documents, or the reuse of already used stamps.  The punishment for removing a stamp with intent to cause loss to the government is imprisonment up to three years, a fine, or both.  Using a previously used government stamp with fraudulent intent or intent to cause loss to the government is punishable by imprisonment up to two years, a fine, or both.","Revenue Stamp, Fraud, Government Stamp, Tampering, Forgery, Imprisonment, Fine",Offences Against Revenue/Financial Offences
185,Offences Relating to Unlawful Assemblies,"This section defines an unlawful assembly as five or more persons with a common object to overawe the government, resist the law, commit mischief, take possession of property by force, or compel someone to do something against their will.  It outlines various penalties for joining, continuing in, or facilitating an unlawful assembly, including harsher punishments for those armed with deadly weapons or for those who continue after a lawful dispersal order.  Different penalties are prescribed based on the nature of the participation and the presence of weapons.","Unlawful Assembly, Criminal Force, Public Peace, Disturbance,  Deadly Weapon,  Public Servant,  Mischief,  Criminal Trespass",Offences Against Public Tranquillity
190,Criminal Liability for Offences Committed in Prosecution of Common Object,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines the criminal liability of individuals who are part of an unlawful assembly.  If an offence is committed in furtherance of the common object of that assembly, or an offence likely to be committed in pursuit of that object, every member of the assembly present at the time of the offence is guilty of that offence, regardless of whether they personally participated in the act.","Unlawful Assembly, Common Object, Criminal Liability, Joint Liability, Conspiracy,  Prosecution,  Offence",General Crimes/Conspiracy & Joint Liability
191,"Liability for Rioting, Unlawful Assemblies, and Related Offences","This section of the Bharatiya Nyaya Sanhita (BNS) outlines the liabilities associated with rioting, unlawful assemblies, and related offences.  It details punishments for participating in riots (including those armed with deadly weapons), for wantonly provoking riots, and for landowners/occupiers failing to report or prevent such events.  Further provisions address affrays (public fights), assaulting public servants during riot control, and promoting enmity between different groups through actions or words that disturb public tranquility.  Penalties vary depending on the severity and nature of the offence, ranging from fines to imprisonment of up to five years.","Rioting, Unlawful Assembly, Affray, Public Disturbance, Criminal Force, Public Servant, Promoting Enmity,  Landowner Liability",Public Order Offences
197,Offences Relating to National Integration and Public Servant Misconduct,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines various offences.  It addresses the making of false or misleading statements jeopardizing India's sovereignty, unity, and integrity,  and prescribes penalties for such actions, particularly when committed in places of worship.  Further, it details offences committed by public servants, including disobeying lawful directions, failing to record information, preparing incorrect documents, engaging in unauthorized trade, and unlawfully purchasing property, along with impersonating a public servant or wearing their garb fraudulently.  Penalties range from fines to imprisonment, varying based on the severity and nature of the offence.","National Integration, Public Servant, Misconduct, False Information,  Disobedience of Law, Impersonation,  India's Sovereignty,  Penalties,  Bharatiya Nyaya Sanhita","Offences Against the State, Offences by or Relating to Public Servants"
206,Obstructing Service of Legal Process,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines penalties for intentionally obstructing the service of summons, notices, or orders issued by a legally competent public servant.  The punishment varies depending on the nature of the document; obstructing service of documents requiring personal appearance or document production in court carries a harsher penalty (up to six months imprisonment and/or a fine of ten thousand rupees) than other instances (up to one month imprisonment and/or a fine of five thousand rupees).  The offense also includes preventing lawful affixing or removal of such documents, or preventing lawful proclamations.","Obstruction of Justice, Service of Summons, Legal Process, Public Servant, Penalty, Imprisonment, Fine",Obstruction of Justice
208,Obstruction of Justice and Furnishing False Information to Public Servants,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines offenses related to obstructing justice by failing to comply with legal summons, notices, orders, or proclamations,  and by failing to produce documents or provide information to public servants.  It also addresses the offense of furnishing false information to public servants. Penalties vary depending on the severity and context of the offense, ranging from simple imprisonment and fines to more substantial prison terms.","Obstruction of Justice,  Public Servant, Summons,  False Information,  Legal Compliance,  Document Production,  Information Furnishing",Obstruction of Justice and Contempt of Court
213,Punishment for Refusal to Give Affirmation to Public Servant,"This section outlines the punishment for refusing to give an affirmation when legally required to do so by a competent public servant.  The punishment can be simple imprisonment for up to six months, a fine up to five thousand rupees, or both.","Public Servant, Affirmation, Refusal, Punishment, Simple Imprisonment, Fine, Legal Obligation",Offences Against Public Justice
214,Obstruction of Public Servant's Inquiry,"This section of the Bharatiya Nyaya Sanhita (BNS) criminalizes the refusal of an individual to answer questions posed by a public servant acting within their legal authority.  The penalty for this offense is a maximum of six months imprisonment, a fine up to five thousand rupees, or both.","Obstruction, Public Servant, Inquiry, Refusal to Answer, Questioning,  Imprisonment, Fine",Offences Against Public Justice
215,Punishment for Refusal to Sign Statement by Public Servant,"This section outlines the penalty for refusing to sign a statement when legally required to do so by a competent public servant.  The punishment is a maximum of three months' simple imprisonment, a fine up to three thousand rupees, or both.","Refusal to Sign, Public Servant, Statement, Simple Imprisonment, Fine, Legal Requirement,  Obstruction of Justice",Offences Against Public Justice
216,Making False Statements on Oath to Public Servant,"This section criminalizes the act of making a false statement under oath or affirmation to a public servant or authorized person.  The individual must know the statement is false, believe it to be false, or not believe it to be true.  The punishment is imprisonment up to three years and a fine.","False Statement, Oath, Affirmation, Public Servant, Perjury, False Testimony, Criminal Liability",Offences Against Public Justice
217,Giving False Information to a Public Servant,"This section of the Bharatiya Nyaya Sanhita (BNS) criminalizes the act of knowingly giving false information to a public servant with the intent to cause, or knowing it is likely to cause, the public servant to do or omit something they shouldn't, or to use their lawful power to injure or annoy another person.  The punishment includes imprisonment up to one year, a fine up to ten thousand rupees, or both.  Illustrations provided clarify the application of the law in various scenarios.","False Information, Public Servant, Misconduct, Obstruction of Justice, Criminal Misinformation,  Intention, Injury.",Offences Against Public Justice
232,Giving or Fabricating False Evidence and Related Offences,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines various offenses related to providing false evidence, including giving false evidence, using false evidence, issuing false certificates, making false statements in declarations, causing evidence to disappear, and intentionally omitting legally required information about an offense.  Punishments vary depending on the severity of the original offense and the nature of the false evidence or actions taken.","False evidence, fabricated evidence, false certificate, false statement, obstructing justice, concealing evidence, perjury, punishment, criminal procedure",Obstruction of Justice & Perjury
240,Punishment for Giving False Information Regarding an Offence,"This section of the Bharatiya Nyaya Sanhita (BNS) prescribes punishment for providing false information about an offence.  Anyone knowingly or believingly providing false information about an offence will be imprisoned for up to two years, fined, or both. The definition of ""offence"" is broadened to include acts committed outside India that would be punishable under specific sections of the BNS if committed within India.  These specified sections cover a range of serious crimes.","False Information, Offence, Punishment, Imprisonment, Fine,  Extra-territorial Jurisdiction,  BNS",Obstruction of Justice
241,Obstruction of Justice by Destruction or Non-Production of Evidence,"This section criminalizes the act of destroying, obliterating, or rendering illegible any document or electronic record held by a public servant, or failing to produce such evidence when lawfully required to do so by a court or public servant. The intention must be to prevent the document from being used as evidence.  Punishment includes imprisonment up to three years, a fine up to five thousand rupees, or both.","Obstruction of Justice, Evidence Tampering, Document Destruction, Electronic Record, Public Servant, Court Proceedings,  Criminal Penalty",Offences Against Public Justice
242,Impersonation and Fraudulent Acts in Legal Proceedings,"This section criminalizes impersonation or fraudulent acts within a suit or criminal prosecution.  This includes making false admissions, statements, or confessions of judgment; causing the issuance of legal processes under false pretenses; acting as a bailor or surety fraudulently; or engaging in any other deceptive act within a legal proceeding.  The punishment is imprisonment for up to three years, a fine, or both.","Impersonation, Fraud, Legal Proceedings, False Confession, Bail, Surety, Criminal Prosecution",Offences Against Public Justice
245,Fraudulently Obtaining a Decree or Order; False Claims in Court; False Charges; Harbouring Offenders,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines penalties for several offenses related to the legal system.  It addresses fraudulently obtaining a court decree for an undeserved amount or property, making false claims in court, filing false criminal charges with intent to cause harm, and harboring offenders to shield them from legal punishment.  The penalties vary depending on the severity of the offense, ranging from fines to imprisonment of up to ten years.","Fraudulent Decree, False Claim, False Charge, Harbouring Offender, Legal Punishment, Court Proceedings, Criminal Proceeding",Offences Against Public Justice
